"LP";"Numer kodowy ";"Nazwa produktu";"odpadki";"wartość energetyczna";;"woda";"białko ogółem";"białko zwierzęce";"białko roślinne";"tłuszcz";"węglowodany ogółem";"popiół";"składniki mineralne";;;;;;;;;"witaminy";;;;;;;;;;;;"kwasy tłuszczowe nasycone";;;;;;;;;;;;"kwasy tłuszczowe jednonienasycone";;;;;;;;"kwasy tłuszczowe wielonienasycone";;;;;;;;;"cholesterol";"aminokwasy";;;;;;;;;;;;;;;;;;"węglowodany";;;;"% energii z:";;
;;;;;;;;;;;;;"sód";"potas";"wapń";"fosfor";"magnez";"żelazo";"cynk";"miedź";"mangan";"ek.retinolu";"retinol";"beta-karoten";"D";"E";"tiamina";"ryboflawina";"niacyna";" B6";"foliany";" B12";"C";"C 4:0";"C 6:0";"C 8:0";"C 10:0";"C 12:0";"C 14:0";"C 15:0";"C 16:0";"C 17:0";"C 18:0";"C 20:0";"ogółem";"C 14:1";"C 15:1";"C 16:1";"C 17:1";"C 18:1";"C 20:1";"C 22:1";"ogółem";"C 18:2";"C 18:3";"C 18:4";"C 20:3";"C 20:4";"C 20:5";"C 22:5";"C 22:6";"ogółem";;"izoleucyna";"leucyna";"lizyna";"metionina";"cystyna";"fenylo-alanina";"tyrozyna";"treonina";"tryptofan";"walina";"arginina";"histydyna";"alanina";"kwas asparaginowy";"kwas glutaminowy";"glicyna";"prolina";"seryna";"sacharoza";"laktoza";"skrobia";"błonnik pokarmowy";"białka";"tłuszczu";"węglo-wodanów"
;;;"g";"KJ";"kcal";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mcg";"mcg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mg";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"g";"g";"g";"g";;;
698;"20.3.3.006";"Pieczeń wieprzowa duszona";0;943;225;66,9;11,4;11,2;0,2;19,8;1,2;0,7;37;203;6;113;14;0,8;2,23;0,04;0,03;0;0;1;0,49;1,33;0,329;0,196;2,17;0,17;3,1;0,49;0,5;0,00;0,00;0,00;0,00;0,00;0,33;0,08;3,44;0,03;1,73;0,02;5,65;0,00;0,00;0,62;0,00;9,43;0,16;0,08;10,29;1,88;0,47;0,00;0,00;0,08;0,00;0,00;0,00;2,44;50;598;885;946;316;135;494;420;573;161;605;760;386;646;1045;1729;667;542;491;0,2;0,0;0,7;0,2;20;78;2
699;"20.3.3.007";"Rolada wieprzowa";0;1724;412;35,0;21,1;19,9;1,2;32,5;10,0;1,4;133;356;12;214;26;1,6;3,97;0,07;0,08;63;59;24;0,98;0,68;0,574;0,369;3,76;0,29;9,2;0,92;0,0;0,01;0,03;0,03;0,11;0,17;1,29;0,23;7,86;0,10;3,39;0,01;13,24;0,06;0,02;1,20;0,01;13,34;0,17;0,00;14,80;1,68;0,19;0,00;0,00;0,15;0,00;0,00;0,00;2,03;121;1108;1642;1677;582;272;927;777;1041;291;1136;1358;697;1172;1892;3330;1189;1069;940;0,2;0,1;9,2;0,4;21;70;9
700;"20.3.3.008";"Schab pieczony I";0;1328;317;45,2;32,2;32,2;0,0;21,1;0,0;1,5;73;526;24;319;37;1,5;2,96;0,09;0,06;58;58;0;1,28;1,84;1,262;0,285;11,08;0,66;3,6;1,07;0,0;0,00;0,00;0,02;0,02;0,08;0,40;0,11;4,10;0,03;1,98;0,02;6,76;0,00;0,00;0,61;0,00;9,72;0,11;0,01;10,45;2,10;0,21;0,00;0,00;0,09;0,00;0,00;0,00;2,40;106;1702;2512;2691;898;373;1391;1192;1633;453;1724;2118;1098;1829;2970;4812;1894;1519;1391;0,0;0,0;0,0;0,0;41;59;0
701;"20.3.3.009";"Schab pieczony II";0;1217;291;48,7;30,4;30,2;0,2;18,7;0,7;1,5;61;507;24;301;35;1,5;2,80;0,10;0,08;0;0;1;0,86;1,31;1,190;0,271;10,45;0,63;4,8;1,01;0,6;0,00;0,00;0,00;0,00;0,00;0,32;0,10;3,26;0,03;1,64;0,02;5,38;0,00;0,00;0,58;0,00;8,91;0,14;0,07;9,70;1,77;0,43;0,00;0,00;0,09;0,00;0,00;0,00;2,29;99;1603;2367;2538;846;353;1314;1125;1538;428;1624;2017;1034;1728;2802;4555;1787;1431;1311;0,2;0,0;0,0;0,2;42;57;1
702;"20.3.3.010";"Stek wieprzowy";0;1973;472;33,0;21,7;21,5;0,2;42,7;1,5;1,1;84;382;25;223;23;1,8;4,16;0,11;0,07;29;27;14;0,97;2,71;0,641;0,327;4,91;0,29;4,2;0,93;0,1;0,01;0,02;0,02;0,06;0,09;1,07;0,22;8,12;0,08;3,77;0,04;13,54;0,03;0,01;1,31;0,01;19,53;0,32;0,15;21,37;3,78;0,95;0,00;0,00;0,17;0,00;0,00;0,00;4,90;98;1143;1692;1803;604;255;938;799;1096;303;1160;1425;738;1227;1992;3280;1271;1037;938;0,0;0,0;1,3;0,1;19;80;1
703;"20.3.3.011";"Wątróbka wieprzowa saute";0;1000;239;57,7;20,5;20,1;0,4;15,5;4,9;1,4;77;305;14;334;22;17,1;4,16;0,59;0,24;10554;10550;24;1,03;2,35;0,310;2,722;15,25;0,51;80,9;22,77;21,9;0,01;0,02;0,02;0,06;0,09;0,42;0,05;2,23;0,05;1,20;0,04;4,22;0,03;0,01;0,14;0,01;6,24;0,12;0,15;6,70;2,53;0,77;0,00;0,05;0,45;0,00;0,07;0,12;3,99;332;1035;1832;1488;471;252;1001;733;935;288;1240;1230;612;1264;2053;2790;1197;1036;1040;0,4;0,0;3,7;0,3;35;57;8
704;"20.3.3.012";"Wieprzowina gotowana";0;1523;364;42,8;22,6;22,0;0,6;30,0;3,1;1,5;95;491;21;237;33;1,8;4,49;0,09;0,13;286;0;1715;0,97;0,77;0,567;0,360;3,53;0,38;16,2;0,97;5,8;0,00;0,00;0,00;0,00;0,00;0,65;0,17;6,35;0,06;3,25;0,00;10,48;0,00;0,00;1,22;0,00;13,67;0,20;0,00;15,09;1,74;0,21;0,00;0,00;0,17;0,00;0,00;0,00;2,12;99;1188;1756;1870;624;262;975;832;1141;316;1212;1483;761;1287;2116;3421;1320;1061;975;0,9;0,0;0,1;1,4;25;73;2
705;"20.3.3.013";"Żeberka duszone wieprzowe";0;879;210;70,3;7,9;7,6;0,3;19,2;2,2;0,4;32;138;16;81;9;0,7;1,46;0,04;0,04;0;0;1;0,35;1,17;0,256;0,122;2,22;0,12;2,3;0,30;0,5;0,00;0,00;0,00;0,00;0,00;0,32;0,08;3,33;0,03;1,67;0,02;5,46;0,00;0,00;0,59;0,00;9,17;0,16;0,08;10,00;1,86;0,46;0,00;0,00;0,08;0,00;0,00;0,00;2,40;33;410;611;646;217;98;343;287;393;111;416;526;266;443;715;1232;458;388;340;0,2;0,0;1,6;0,2;15;81;4
706;"20.3.4.001";"Befsztyk bity wiejski";0;1079;258;58,3;19,4;19,1;0,3;19,6;1,6;1,1;40;372;19;208;25;3,3;3,21;0,10;0,04;31;30;10;0,71;1,82;0,071;0,262;4,82;0,25;8,2;1,60;0,6;0,01;0,01;0,01;0,04;0,06;0,64;0,12;4,01;0,18;2,32;0,03;7,46;0,15;0,03;0,57;0,10;7,83;0,11;0,10;8,89;1,63;0,59;0,00;0,00;0,00;0,00;0,00;0,00;2,22;87;957;1615;1768;537;260;881;716;913;225;998;1275;676;1163;1787;3089;969;766;806;0,2;0,0;0,9;0,2;31;67;2
707;"20.3.4.002";"Bitki wołowe";0;429;103;79,1;13,6;13,3;0,3;4,3;2,4;0,6;53;242;3;132;16;1,5;2,41;0,05;0,03;27;27;0;0,38;0,68;0,041;0,143;3,47;0,21;6,3;0,89;0,0;0,00;0,00;0,00;0,00;0,03;0,09;0,02;0,81;0,03;0,50;0,01;1,50;0,03;0,01;0,10;0,02;1,78;0,01;0,01;1,96;0,53;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,60;38;668;1131;1226;375;186;618;497;636;155;698;876;475;827;1240;2196;676;555;566;0,0;0,0;2,3;0,1;54;37;9
708;"20.3.4.003";"Bitki wołowe w jarzynach";0;484;116;73,8;14,3;13,3;1,0;4,4;6,6;0,9;87;389;21;154;25;1,8;2,61;0,10;0,17;490;27;2781;0,38;1,04;0,066;0,174;3,87;0,27;22,4;0,89;6,7;0,00;0,00;0,00;0,00;0,03;0,09;0,02;0,83;0,03;0,50;0,01;1,52;0,03;0,01;0,11;0,02;1,78;0,01;0,01;1,97;0,58;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,67;38;696;1173;1261;386;195;644;517;663;162;738;916;487;871;1345;2364;703;582;595;1,2;0,0;2,5;2,0;50;34;16
709;"20.3.4.004";"Boeuf Strogonow";0;918;219;61,5;19,5;19,0;0,5;14,3;3,7;1,0;60;341;21;178;23;2,2;2,51;0,07;0,03;22;16;34;0,53;1,93;0,060;0,187;5,93;0,33;7,7;1,25;0,8;0,03;0,02;0,01;0,03;0,04;0,32;0,06;2,20;0,10;1,34;0,03;4,20;0,09;0,02;0,32;0,06;6,29;0,11;0,11;7,00;1,70;0,62;0,00;0,00;0,00;0,00;0,00;0,00;2,33;65;958;1620;1758;537;264;885;716;911;225;1003;1263;676;1156;1784;3169;962;802;811;0,2;0,4;2,6;0,3;36;58;6
710;"20.3.4.005";"Bryzol wołowy z polędwicy";0;1056;252;56,2;24,6;24,5;0,1;16,6;1,4;1,2;63;467;6;259;32;3,8;3,57;0,13;0,05;41;39;13;0,52;2,45;0,121;0,316;6,74;0,25;10,3;1,70;0,0;0,01;0,02;0,02;0,06;0,09;0,55;0,08;2,74;0,09;1,21;0,04;4,95;0,08;0,02;0,28;0,04;7,17;0,13;0,15;7,88;2,15;0,78;0,00;0,00;0,00;0,00;0,00;0,00;2,93;82;1217;2054;2245;684;328;1115;910;1160;284;1269;1596;862;1474;2267;3908;1228;975;1024;0,0;0,0;1,3;0,0;40;58;2
711;"20.3.4.006";"Gulasz wołowy";0;618;148;73,5;14,0;13,6;0,4;9,2;2,6;0,7;53;267;6;137;18;1,6;2,50;0,07;0,06;21;6;90;0,26;1,76;0,046;0,151;3,61;0,23;7,3;0,91;1,2;0,00;0,00;0,00;0,00;0,00;0,08;0,02;0,92;0,03;0,53;0,03;1,63;0,03;0,01;0,11;0,02;4,55;0,10;0,11;4,93;1,58;0,58;0,00;0,00;0,00;0,00;0,00;0,00;2,16;38;685;1159;1263;384;191;634;513;653;162;716;922;486;855;1283;2258;696;562;580;0,3;0,0;1,6;0,3;39;55;6
712;"20.3.4.007";"Polędwica wołowa pieczona";0;701;168;69,4;19,7;19,7;0,0;9,9;0,0;1,0;61;376;5;208;26;3,0;2,88;0,10;0,04;74;74;0;0,80;1,90;0,090;0,254;5,44;0,19;7,7;1,37;0,0;0,00;0,00;0,02;0,02;0,09;0,19;0,03;1,83;0,05;0,95;0,02;3,20;0,04;0,01;0,16;0,03;4,30;0,03;0,01;4,58;1,46;0,16;0,00;0,00;0,00;0,00;0,00;0,00;1,62;58;977;1646;1807;549;259;893;731;932;228;1018;1282;692;1185;1824;3103;986;768;818;0,0;0,0;0,0;0,0;48;52;0
713;"20.3.4.008";"Pieczeń wołowa duszona";0;652;156;71,9;15,8;15,5;0,3;9,5;2,0;0,8;58;286;4;154;19;1,8;2,81;0,07;0,04;7;7;0;0,30;1,75;0,048;0,167;4,06;0,25;7,2;1,04;0,2;0,00;0,00;0,00;0,00;0,00;0,09;0,02;0,99;0,04;0,58;0,03;1,77;0,03;0,01;0,13;0,02;4,67;0,10;0,11;5,07;1,58;0,57;0,00;0,00;0,00;0,00;0,00;0,00;2,15;44;777;1313;1432;435;214;717;581;741;182;811;1028;552;965;1448;2530;787;633;656;0,1;0,0;1,6;0,1;41;54;5
714;"20.3.4.009";"Sztuka mięsa I";0;1034;247;49,1;33,9;33,2;0,7;11,4;3,8;1,8;127;675;32;316;43;4,0;4,50;0,14;0,14;377;16;2162;0,93;0,80;0,101;0,291;8,31;0,62;22;2,16;6,8;0,00;0,00;0,00;0,00;0,00;0,36;0,09;2,84;0,15;1,96;0,00;5,40;0,12;0,02;0,50;0,09;4,04;0,04;0,00;4,81;0,32;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,43;108;1676;2822;3081;938;446;1536;1254;1600;390;1755;2202;1180;2041;3176;5379;1693;1323;1407;1,0;0,0;0,2;1,7;56;41;3
715;"20.3.4.010";"Sztuka mięsa II";0;934;223;54,2;30,6;30,0;0,6;10,3;3,2;1,7;107;592;31;283;38;3,6;4,04;0,11;0,12;162;15;884;0,84;0,77;0,089;0,262;7,46;0,55;17,7;1,95;9,3;0,00;0,00;0,00;0,00;0,00;0,32;0,08;2,58;0,14;1,77;0,00;4,89;0,11;0,01;0,45;0,08;3,66;0,03;0,00;4,35;0,29;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,40;98;1511;2546;2779;846;403;1386;1130;1444;354;1582;2011;1066;1844;2853;4844;1533;1195;1271;0,8;0,0;0,1;1,3;56;41;3
716;"20.3.4.011";"Zrazy wołowe zawijane ze słoniną";0;605;145;74,7;12,1;11,6;0,5;9,4;3,2;0,6;45;222;4;118;15;1,4;2,13;0,05;0,05;6;5;1;0,25;0,25;0,047;0,118;2,44;0,20;4,9;0,71;0,5;0,00;0,00;0,00;0,00;0,00;0,17;0,03;2,20;0,05;1,25;0,02;3,72;0,05;0,01;0,31;0,03;3,97;0,06;0,00;4,43;0,53;0,07;0,00;0,00;0,01;0,00;0,00;0,00;0,61;40;609;999;1078;331;165;548;444;561;139;619;792;417;736;1101;1956;603;497;502;0,2;0,0;2,5;0,2;34;58;8
717;"20.3.5.001";"Klopsiki mielone z mięsa mieszanego";0;1137;272;52,2;13,5;11,7;1,8;17,5;15,9;0,9;113;234;10;137;18;1,3;2,36;0,07;0,10;12;12;1;0,44;2,00;0,225;0,198;2,59;0,18;8,3;0,66;0,4;0,00;0,00;0,00;0,00;0,00;0,22;0,06;2,55;0,03;1,24;0,03;4,14;0,01;0,00;0,41;0,01;8,48;0,16;0,12;9,19;2,27;0,66;0,00;0,00;0,05;0,00;0,00;0,00;2,99;57;677;1066;1051;363;204;610;485;626;170;708;854;439;751;1166;2332;693;706;597;0,4;0,0;14,5;0,6;20;57;23
718;"20.3.5.002";"Kotlet mielony z mięsa mieszanego";0;1190;284;53,3;13,0;11,7;1,3;21,1;11,8;0,8;108;232;10;138;19;1,3;2,37;0,07;0,13;12;12;1;0,44;2,83;0,237;0,194;2,60;0,20;8,7;0,66;0,4;0,00;0,00;0,00;0,00;0,00;0,22;0,06;2,71;0,03;1,30;0,05;4,39;0,01;0,00;0,41;0,01;10,43;0,20;0,18;11,25;3,05;0,95;0,00;0,00;0,05;0,00;0,00;0,00;4,05;57;659;1031;1032;352;183;583;475;611;167;686;829;424;732;1136;2209;678;643;574;0,2;0,0;10,5;0,7;19;65;16
719;"20.3.5.003";"Pasztet z mięsa mieszanego";0;1511;361;46,3;15,0;14,2;0,8;31,1;6,6;1,0;94;240;14;178;17;4,2;2,57;0,20;0,10;1940;1940;4;0,63;0,71;0,258;0,705;5,54;0,30;16,7;4,88;4,5;0,00;0,00;0,00;0,00;0,01;0,47;0,06;6,81;0,07;3,54;0,05;11,03;0,10;0,04;1,03;0,07;13,66;0,21;0,00;15,11;1,95;0,21;0,00;0,01;0,16;0,00;0,02;0,02;2,37;148;839;1225;1155;387;182;674;544;678;193;837;973;476;893;1394;2249;838;754;709;0,4;0,0;5,3;0,4;17;76;7
720;"20.3.5.004";"Pieczeń rzymska";0;872;208;60,6;14,4;12,9;1,5;11,4;12,7;0,9;136;250;9;150;20;1,5;2,56;0,07;0,13;44;44;1;0,61;1,03;0,181;0,199;3,00;0,20;10,2;0,79;0,0;0,00;0,00;0,01;0,01;0,04;0,22;0,05;2,28;0,03;1,10;0,01;3,74;0,01;0,00;0,33;0,01;5,00;0,06;0,01;5,42;1,16;0,12;0,00;0,00;0,04;0,00;0,00;0,00;1,33;60;723;1156;1152;389;211;653;526;667;177;758;903;472;818;1255;2470;724;708;636;0,2;0,0;11,6;0,6;28;48;24
721;"20.3.5.005";"Pulpety z mięsa mieszanego";0;933;223;55,5;18,7;16,9;1,8;11,1;13,4;1,3;155;396;20;199;28;2,1;3,37;0,10;0,17;230;20;1260;0,57;0,53;0,243;0,275;4,10;0,30;18,8;1,04;4,3;0,00;0,00;0,00;0,00;0,00;0,24;0,06;2,42;0,04;1,24;0,00;4,00;0,02;0,01;0,43;0,01;4,77;0,06;0,00;5,30;0,69;0,09;0,00;0,00;0,05;0,00;0,00;0,00;0,84;79;942;1503;1530;509;266;847;685;878;230;991;1187;617;1084;1690;3094;948;876;823;0,9;0,0;10,3;1,4;34;44;22
722;"20.3.6.001";"Medaliony z indyka";0;1035;247;58,8;18,6;18,2;0,4;17,9;3,4;1,3;45;442;3;230;34;0,5;0,83;0,04;0,03;40;38;15;0,03;0,28;0,037;0,146;4,68;0,49;7,9;0,59;0,0;0,01;0,02;0,03;0,08;0,11;0,63;0,06;5,05;0,07;2,46;0,03;8,55;0,03;0,00;0,41;0,01;6,81;0,08;0,00;7,34;1,08;0,12;0,00;0,00;0,01;0,00;0,00;0,00;1,21;70;885;1374;1917;502;127;687;599;953;239;924;1189;518;1141;1820;3201;903;818;803;0,0;0,0;3,1;0,1;31;64;5
723;"20.4.1.001";"Bigos popularny";0;497;119;80,0;5,1;4,2;0,9;9,9;3,9;1,1;170;193;28;55;10;0,6;0,87;0,04;0,10;17;11;36;0,25;1,00;0,087;0,095;0,72;0,12;4,1;0,19;3,3;0,00;0,00;0,00;0,00;0,02;0,17;0,04;1,81;0,02;0,89;0,01;2,97;0,00;0,00;0,30;0,00;4,58;0,07;0,02;4,98;0,97;0,22;0,00;0,00;0,04;0,00;0,00;0,00;1,24;18;256;395;394;131;65;222;179;252;70;273;365;172;294;462;796;290;257;230;0,2;0,0;1,0;1,3;17;74;9
724;"20.4.1.002";"Fasolka po bretońsku";0;589;141;68,4;8,0;3,0;5,0;6,6;15,9;1,1;152;332;41;128;42;1,9;1,29;0,13;0,47;45;37;50;0,31;1,06;0,160;0,077;1,12;0,14;24,2;0,11;1,1;0,00;0,00;0,01;0,01;0,05;0,10;0,02;1,15;0,01;0,51;0,01;1,87;0,00;0,00;0,11;0,00;2,88;0,03;0,01;3,03;1,00;0,23;0,00;0,00;0,01;0,00;0,00;0,00;1,24;9;382;655;647;141;84;418;252;361;95;411;500;256;396;924;1330;361;356;433;1,6;0,0;9,8;3,6;23;41;36
725;"20.4.1.003";"Gołąbki z mięsem i ryżem w sosie pomidorowym";0;450;108;79,0;3,6;2,1;1,5;6,7;10,0;0,7;20;200;38;51;11;0,4;0,72;0,04;0,20;47;10;222;0,10;1,25;0,097;0,069;0,68;0,09;20,2;0,10;22,6;0,01;0,01;0,01;0,03;0,04;0,23;0,03;1,44;0,02;0,63;0,01;2,46;0,01;0,01;0,17;0,01;2,77;0,04;0,02;3,03;0,59;0,18;0,00;0,00;0,02;0,00;0,00;0,00;0,79;14;175;271;236;86;51;156;127;172;51;198;277;114;209;333;596;202;178;170;0,4;0,1;5,3;1,7;14;55;31
726;"20.4.1.004";"Papryka nadziewana mięsem i ryżem";0;671;160;70,6;4,4;2,7;1,7;10,6;13,7;0,7;16;239;16;64;12;0,7;0,90;0,08;0,19;261;10;1504;0,13;1,57;0,138;0,119;1,51;0,32;20,9;0,12;63,0;0,01;0,01;0,01;0,03;0,04;0,31;0,04;2,70;0,03;1,34;0,01;4,53;0,01;0,01;0,29;0,01;4,20;0,05;0,00;4,57;0,72;0,12;0,00;0,00;0,02;0,00;0,00;0,00;0,86;21;214;327;297;110;69;191;163;200;63;236;293;132;238;455;766;229;217;199;0,3;0,1;8,7;1,7;11;59;30
727;"20.4.1.005";"Risotto z mięsem i warzywami";0;773;185;64,5;6,6;5,0;1,6;10,0;18,3;0,6;33;169;18;89;12;0,6;1,38;0,07;0,27;197;28;1016;0,24;0,40;0,202;0,111;1,24;0,16;10,7;0,23;2,3;0,01;0,02;0,02;0,07;0,10;0,56;0,08;2,67;0,04;1,03;0,00;4,62;0,03;0,01;0,34;0,01;3,70;0,04;0,00;4,13;0,48;0,07;0,00;0,00;0,04;0,00;0,00;0,00;0,59;32;343;514;472;183;93;293;263;308;92;370;431;205;366;610;1083;353;320;301;0,5;0,3;15,4;1,2;14;48;38
728;"20.5.1.001";"Mizeria ze śmietaną";0;139;33;93,5;1,0;0,5;0,5;2,2;2,8;0,5;15;112;30;30;8;0,2;0,22;0,08;0,06;34;14;120;0,02;0,14;0,017;0,040;0,10;0,02;12,1;0,05;3,2;0,07;0,04;0,03;0,06;0,07;0,23;0,02;0,55;0,02;0,23;0,00;1,32;0,03;0,01;0,06;0,02;0,57;0,00;0,00;0,69;0,04;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,09;7;46;72;66;18;11;40;42;40;11;60;58;22;41;85;236;37;64;53;0,1;0,7;0,1;0,4;12;59;29
729;"20.5.1.002";"Sałata zielona z pomidorem, ogórkiem i olejem";0;233;56;90,2;0,9;0,0;0,9;4,7;3,6;0,6;6;152;15;18;7;0,5;0,29;0,05;0,15;99;0;592;0,00;2,33;0,027;0,042;0,26;0,05;45,8;0,00;7,1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,00;0,17;0,01;0,50;0,00;0,00;0,00;0,00;0,88;0,01;0,00;0,89;2,96;0,07;0,00;0,00;0,00;0,00;0,00;0,00;3,03;0;38;60;42;15;4;45;28;40;9;51;49;18;44;130;202;41;45;38;1,0;0,0;0,0;1,0;7;74;19
730;"20.5.1.003";"Sałata zielona z olejem";0;465;111;84,6;1,0;0,0;1,0;11,6;2,1;0,7;3;99;18;15;7;0,5;0,32;0,03;0,21;126;0;755;0,00;5,03;0,022;0,051;0,11;0,03;58,3;0,00;5,3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,76;0,00;0,42;0,03;1,21;0,00;0,00;0,00;0,00;2,22;0,02;0,00;2,24;7,41;0,13;0,00;0,00;0,00;0,00;0,00;0,00;7,54;0;48;80;48;23;1;65;34;52;10;69;57;20;55;146;130;52;66;42;0,1;0,0;0,0;1,0;4;92;4
731;"20.5.1.004";"Sałata zielona ze śmietaną";0;170;41;91,0;1,4;0,5;0,9;2,3;4,5;0,8;10;113;35;28;8;0,5;0,35;0,03;0,19;131;14;704;0,02;0,29;0,024;0,066;0,11;0,03;54,2;0,05;4,9;0,07;0,04;0,03;0,06;0,07;0,23;0,02;0,56;0,02;0,23;0,00;1,33;0,03;0,01;0,06;0,02;0,57;0,00;0,00;0,70;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,16;7;69;116;84;32;6;82;53;67;16;96;67;31;65;169;218;57;106;64;1,9;0,7;0,0;0,9;14;50;36
732;"20.5.1.005";"Surówka z cykorii i jabłek";0;675;161;78,3;1,0;0,2;0,8;16,4;3,8;0,5;4;130;17;24;7;0,6;0,18;0,09;0,18;117;11;633;0,07;6,72;0,024;0,027;0,11;0,02;27,9;0,07;2,7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,14;0,00;0,59;0,04;1,78;0,00;0,00;0,01;0,00;3,23;0,02;0,00;3,26;10,29;0,10;0,00;0,00;0,00;0,00;0,00;0,00;10,39;15;48;81;47;14;9;52;32;53;17;64;81;20;59;126;130;52;56;57;0,7;0,0;0,5;0,8;2;90;8
733;"20.5.1.006";"Surówka z kapusty białej";0;281;67;85,9;1,6;0,0;1,6;4,7;7,0;0,8;17;204;59;29;12;0,3;0,29;0,03;0,21;7;0;40;0,00;3,12;0,042;0,041;0,22;0,05;52,2;0,00;22,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,00;0,17;0,01;0,50;0,00;0,00;0,00;0,00;0,87;0,01;0,00;0,88;2,94;0,10;0,00;0,00;0,00;0,00;0,00;0,00;3,04;0;66;115;74;24;25;68;43;80;24;90;197;53;112;144;216;103;79;87;0,6;0,0;0,1;2,3;10;62;28
734;"20.5.1.007";"Surówka z kapusty kwaszonej";0;284;68;85,4;0,9;0,0;0,9;4,7;7,5;1,5;176;174;27;15;6;0,4;0,21;0,04;0,12;3;0;15;0,00;1,95;0,025;0,047;0,11;0,11;13,9;0,00;9,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,00;0,17;0,01;0,51;0,00;0,00;0,00;0,00;0,87;0,01;0,00;0,88;2,95;0,09;0,00;0,00;0,00;0,00;0,00;0,00;3,04;0;37;64;43;14;15;37;23;44;15;50;106;29;63;91;124;56;43;48;3,4;0,0;0,1;1,9;5;61;34
735;"20.5.1.008";"Surówka z marchwi";0;196;47;88,5;1,1;0,5;0,6;2,3;7,7;0,4;51;199;39;33;11;0,3;0,27;0,07;0,12;801;14;4723;0,02;0,36;0,036;0,059;0,28;0,08;20;0,05;2,8;0,07;0,04;0,03;0,06;0,07;0,23;0,02;0,56;0,02;0,23;0,00;1,33;0,03;0,01;0,06;0,02;0,57;0,00;0,00;0,69;0,10;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,14;7;50;79;73;21;12;43;38;44;12;67;48;24;53;135;244;33;69;53;1,7;0,7;0,2;2,3;10;43;47
736;"20.5.1.009";"Surówka z marchwi i jabłek";0;246;59;81,7;1,0;0,0;1,0;0,3;16,6;0,4;70;287;32;30;15;0,5;0,35;0,10;0,19;1249;0;7497;0,00;0,54;0,051;0,055;0,44;0,12;30,9;0,00;4,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0;39;59;54;15;13;34;27;39;9;55;53;19;62;166;234;39;36;43;7,7;0,0;0,4;3,8;7;5;88
737;"20.5.1.010";"Surówka z ogórków i pomidorów";0;135;32;93,0;1,1;0,4;0,7;1,8;3,6;0,5;14;157;27;28;8;0,3;0,25;0,08;0,08;46;10;211;0,01;0,35;0,032;0,050;0,35;0,06;19,8;0,04;7,6;0,05;0,03;0,02;0,04;0,05;0,17;0,02;0,44;0,02;0,17;0,00;1,01;0,02;0,01;0,04;0,02;0,44;0,00;0,00;0,53;0,07;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,11;5;42;69;68;17;13;41;39;39;14;55;78;23;47;108;298;39;58;51;0,3;0,5;0,1;0,7;14;49;37
738;"20.5.1.011";"Surówka z owoców";0;429;103;73,0;0,5;0,0;0,5;0,3;25,9;0,3;2;149;11;14;6;0,4;0,13;0,07;0,08;17;0;103;0,00;0,50;0,025;0,025;0,17;0,02;5,9;0,00;4,1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,01;0,00;0,04;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,07;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,09;0;21;29;25;6;5;21;9;21;5;23;18;10;25;180;45;15;22;21;16,9;0,0;0,1;1,8;2;3;95
